Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Esquizofrenia,Lenguaje desorganizado,Ideas suicidas,Taquicardia,Alogia - pobreza de contenido,Anhedonia - intereses recreativos,Disminución del libido,Alogia - bloqueos del pensamiento,Abulia - trabajo o estudio,Comportamiento social inadecuado,Anhedonia - relaciones con la familia
Trastorno esquizotípico,Hipervigilancia,Eco del pensamiento,Anhedonia - relaciones con amigos,Gesticulación reducida,Ideas delirantes,Expresión facial reducida,Abulia,Tristeza,Dificultades en teoría de la mente,Comportamiento social inadecuado
Esquizofrenia,Alogia - pobreza de contenido,Gesticulación reducida,Deterioro de la memoria,Alogia - bloqueos del pensamiento,Alogia,Dificultad de concentración,Expresión facial reducida,Paranoia intensa,Comportamiento social inadecuado,Anergia física
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Expresión facial reducida,Catatonía,Abulia,Irritabilidad,Hipervigilancia,Comportamiento social inadecuado,Ideas suicidas,Hipoexpresividad emocional,Abulia - higiene
Trastorno esquizotípico,Paranoia intensa,Anhedonia - intereses sexuales,Tristeza,Comportamiento motor desorganizado,Contacto visual bajo,Déficit en el procesamiento de la información,Comportamiento social inadecuado,Sueño o fatiga,Abulia - higiene,Dificultad de concentración
Trastorno bipolar con síntomas psicóticos,Deterioro de la atención,Alogia - pobreza de contenido,Pensamientos intrusivos,Anhedonia - intereses recreativos,Cambios en el apetito,Anhedonia,Contacto visual bajo,Alucinaciones,Hipoexpresividad emocional,Comportamiento social inadecuado
Trastorno delirante,Alogia - bloqueos del pensamiento,Abulia - higiene,Sentimiento de culpa,Dificultad de concentración,Anhedonia - intereses sexuales,Hipoexpresividad emocional,Obsesiones de presencia,Control del pensamiento,Ideas delirantes,Contacto visual bajo
Esquizofrenia,Expresión facial reducida,Déficit en el procesamiento de la información,Pensamientos intrusivos,Lenguaje desorganizado,Ideas delirantes,Gesticulación reducida,Cambios en el apetito,Comportamiento motor desorganizado,Anhedonia - relaciones con la familia,Anhedonia
Trastorno esquizoafectivo,Preocupación,Dificultad de concentración,Comportamiento motor desorganizado,Anergia física,Dificultades en teoría de la mente,Disminución del libido,Sentimiento de culpa,Alogia - pobreza del habla,Anhedonia - sociabilidad,Alogia - bloqueos del pensamiento
Esquizofrenia,Taquicardia,Anhedonia - intereses recreativos,Afectividad inapropiada,Irritabilidad,Obsesiones de presencia,Anhedonia - sociabilidad,Alogia - bloqueos del pensamiento,Alucinaciones,Gesticulación reducida,Dificultades en teoría de la mente
Trastorno bipolar con síntomas psicóticos,Cambios en el apetito,Contacto visual bajo,Disnea,Nerviosismo,Anhedonia - intereses recreativos,Anhedonia,Abulia - trabajo o estudio,Pensamientos intrusivos,Alogia - pobreza de contenido,Deterioro de la memoria
Trastorno delirante,Alogia - pobreza del habla,Disnea,Afectividad inapropiada,Control del pensamiento,Pensamientos intrusivos,Alogia - pobreza de contenido,Anhedonia - intereses sexuales,Disminución del libido,Nerviosismo,Hipervigilancia
Trastorno esquizoafectivo,Catatonía,Pensamientos intrusivos,Gesticulación reducida,Anergia física,Anhedonia - sociabilidad,Abulia - trabajo o estudio,Preocupación,Ideas suicidas,Anhedonia,Control del pensamiento
Trastorno esquizoafectivo,Sueño o fatiga,Temblores,Disminución del libido,Deterioro de la atención,Alogia - bloqueos del pensamiento,Cambios en el apetito,Expresión facial reducida,Comportamiento social inadecuado,Catatonía,Afectividad inapropiada
Trastorno esquizoafectivo,Comportamiento social inadecuado,Anergia física,Tristeza,Lenguaje desorganizado,Hipervigilancia,Expresión facial reducida,Preocupación,Anhedonia - intereses recreativos,Anhedonia - relaciones con amigos,Abulia - higiene
Depresión mayor con síntomas psicóticos,Sueño o fatiga,Afectividad inapropiada,Abulia,Nerviosismo,Preocupación,Desorganización del pensamiento,Dificultad de concentración,Catatonía,Hipervigilancia,Control del pensamiento
Trastorno esquizotípico,Eco del pensamiento,Contacto visual bajo,Dificultad de concentración,Afectividad inapropiada,Anhedonia - relaciones con la familia,Comportamiento social inadecuado,Alucinaciones,Anhedonia - intereses recreativos,Abulia,Alogia - pobreza de contenido
Trastorno bipolar con síntomas psicóticos,Abulia - trabajo o estudio,Catatonía,Sentimiento de culpa,Comportamiento social inadecuado,Anhedonia - relaciones con la familia,Gesticulación reducida,Alogia - pobreza del habla,Lenguaje desorganizado,Alogia - bloqueos del pensamiento,Expresión facial reducida
Depresión mayor con síntomas psicóticos,Alucinaciones,Anhedonia - intereses recreativos,Cambios en el apetito,Obsesiones de presencia,Disnea,Hipoexpresividad emocional,Dificultades en teoría de la mente,Deterioro de la atención,Anhedonia,Anergia física
Trastorno esquizotípico,Hipervigilancia,Alogia - pobreza del habla,Pensamientos intrusivos,Taquicardia,Preocupación,Cambios en el apetito,Disminución del libido,Deterioro de la atención,Anhedonia - intereses recreativos,Paranoia intensa
Trastorno esquizotípico,Alogia - pobreza de contenido,Sudoración,Deterioro de la memoria,Alogia - pobreza del habla,Cambios en el apetito,Catatonía,Sueño o fatiga,Anhedonia - sociabilidad,Tristeza,Anhedonia - relaciones con amigos
Esquizofrenia,Expresión facial reducida,Ideas suicidas,Disminución del libido,Obsesiones de presencia,Contacto visual bajo,Anhedonia - relaciones con amigos,Deterioro de la memoria,Anergia física,Abulia - trabajo o estudio,Anhedonia - intereses recreativos
Esquizofrenia,Nerviosismo,Taquicardia,Anhedonia,Hipoexpresividad emocional,Obsesiones de presencia,Alogia,Disminución del libido,Hipervigilancia,Expresión facial reducida,Ideas suicidas
Trastorno bipolar con síntomas psicóticos,Irritabilidad,Catatonía,Contacto visual bajo,Alucinaciones,Disnea,Expresión facial reducida,Temblores,Sueño o fatiga,Alogia - bloqueos del pensamiento,Ideas suicidas
Trastorno esquizotípico,Anhedonia - intereses recreativos,Dificultades en teoría de la mente,Alogia,Deterioro de la memoria,Lenguaje desorganizado,Gesticulación reducida,Preocupación,Anhedonia - relaciones con la familia,Deterioro de la atención,Obsesiones de presencia
Trastorno bipolar con síntomas psicóticos,Contacto visual bajo,Alogia - bloqueos del pensamiento,Pensamientos intrusivos,Disminución del libido,Preocupación,Anhedonia - relaciones con amigos,Desorganización del pensamiento,Control del pensamiento,Anhedonia - intereses recreativos,Anergia física
Trastorno bipolar con síntomas psicóticos,Eco del pensamiento,Disminución del libido,Lenguaje desorganizado,Anergia física,Deterioro de la memoria,Temblores,Anhedonia - intereses recreativos,Alogia - pobreza del habla,Preocupación,Expresión facial reducida
Trastorno esquizotípico,Sudoración,Preocupación,Anhedonia - relaciones con amigos,Catatonía,Dificultades en teoría de la mente,Taquicardia,Comportamiento social inadecuado,Disminución del libido,Expresión facial reducida,Anhedonia
Trastorno bipolar con síntomas psicóticos,Ideas delirantes,Paranoia intensa,Déficit en el procesamiento de la información,Deterioro de la atención,Anergia física,Sudoración,Anhedonia - intereses recreativos,Taquicardia,Nerviosismo,Expresión facial reducida
Trastorno bipolar con síntomas psicóticos,Sentimiento de culpa,Desorganización del pensamiento,Paranoia intensa,Preocupación,Disminución del libido,Alogia - pobreza del habla,Catatonía,Comportamiento social inadecuado,Obsesiones de presencia,Sueño o fatiga
Trastorno delirante,Abulia - trabajo o estudio,Deterioro de la memoria,Nerviosismo,Anhedonia - intereses recreativos,Control del pensamiento,Hipoexpresividad emocional,Alucinaciones,Ideas delirantes,Anhedonia - relaciones con amigos,Alogia - bloqueos del pensamiento
Trastorno bipolar con síntomas psicóticos,Ideas suicidas,Disminución del libido,Obsesiones de presencia,Deterioro de la atención,Nerviosismo,Anergia física,Anhedonia - intereses recreativos,Catatonía,Contacto visual bajo,Hipervigilancia
Trastorno bipolar con síntomas psicóticos,Afectividad inapropiada,Disnea,Abulia - trabajo o estudio,Alogia - pobreza del habla,Alucinaciones,Expresión facial reducida,Anhedonia - relaciones con la familia,Disminución del libido,Alogia,Sudoración
Trastorno esquizotípico,Taquicardia,Expresión facial reducida,Ideas delirantes,Contacto visual bajo,Abulia - higiene,Deterioro de la atención,Nerviosismo,Preocupación,Obsesiones de presencia,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Ideas suicidas,Nerviosismo,Paranoia intensa,Temblores,Ideas delirantes,Deterioro de la atención,Preocupación,Anhedonia,Eco del pensamiento,Catatonía
Trastorno delirante,Deterioro de la atención,Abulia - higiene,Taquicardia,Hipoexpresividad emocional,Obsesiones de presencia,Afectividad inapropiada,Sudoración,Dificultades en teoría de la mente,Nerviosismo,Alogia - pobreza de contenido
Trastorno delirante,Sentimiento de culpa,Irritabilidad,Disminución del libido,Anhedonia - intereses sexuales,Temblores,Abulia - higiene,Abulia,Nerviosismo,Obsesiones de presencia,Catatonía
Trastorno delirante,Control del pensamiento,Paranoia intensa,Comportamiento social inadecuado,Irritabilidad,Deterioro de la atención,Sentimiento de culpa,Anhedonia - relaciones con amigos,Pensamientos intrusivos,Hipoexpresividad emocional,Afectividad inapropiada
Esquizofrenia,Irritabilidad,Temblores,Abulia - trabajo o estudio,Alucinaciones,Anhedonia - relaciones con la familia,Comportamiento social inadecuado,Lenguaje desorganizado,Expresión facial reducida,Contacto visual bajo,Ideas delirantes
Esquizofrenia,Temblores,Alogia - pobreza del habla,Dificultades en teoría de la mente,Ideas suicidas,Alogia - pobreza de contenido,Alucinaciones,Eco del pensamiento,Contacto visual bajo,Ideas delirantes,Deterioro de la atención
Trastorno esquizotípico,Alogia - bloqueos del pensamiento,Obsesiones de presencia,Gesticulación reducida,Abulia,Anhedonia - relaciones con amigos,Catatonía,Desorganización del pensamiento,Nerviosismo,Hipervigilancia,Tristeza
Trastorno bipolar con síntomas psicóticos,Eco del pensamiento,Alogia - bloqueos del pensamiento,Abulia,Taquicardia,Cambios en el apetito,Alogia - pobreza del habla,Deterioro de la atención,Comportamiento social inadecuado,Ideas suicidas,Paranoia intensa
Trastorno bipolar con síntomas psicóticos,Anhedonia - sociabilidad,Gesticulación reducida,Deterioro de la atención,Pensamientos intrusivos,Alucinaciones,Cambios en el apetito,Temblores,Afectividad inapropiada,Paranoia intensa,Anergia física
Esquizofrenia,Expresión facial reducida,Paranoia intensa,Alogia,Anhedonia - intereses sexuales,Anhedonia - relaciones con la familia,Ideas suicidas,Taquicardia,Anhedonia - intereses recreativos,Catatonía,Nerviosismo
Esquizofrenia,Comportamiento motor desorganizado,Alogia - pobreza de contenido,Ideas delirantes,Sentimiento de culpa,Eco del pensamiento,Preocupación,Anhedonia - intereses recreativos,Lenguaje desorganizado,Hipoexpresividad emocional,Afectividad inapropiada
Esquizofrenia,Comportamiento social inadecuado,Eco del pensamiento,Disnea,Hipoexpresividad emocional,Sentimiento de culpa,Expresión facial reducida,Sudoración,Anhedonia - sociabilidad,Afectividad inapropiada,Ideas delirantes
Trastorno esquizotípico,Deterioro de la memoria,Abulia - trabajo o estudio,Afectividad inapropiada,Deterioro de la atención,Taquicardia,Hipoexpresividad emocional,Anhedonia - sociabilidad,Dificultades en teoría de la mente,Sudoración,Sentimiento de culpa
Trastorno esquizotípico,Anhedonia,Anergia física,Anhedonia - intereses sexuales,Ideas delirantes,Paranoia intensa,Disnea,Irritabilidad,Alogia - pobreza del habla,Ideas suicidas,Sueño o fatiga
Depresión mayor con síntomas psicóticos,Comportamiento motor desorganizado,Contacto visual bajo,Ideas suicidas,Dificultad de concentración,Dificultades en teoría de la mente,Preocupación,Temblores,Disnea,Nerviosismo,Gesticulación reducida
Trastorno esquizoafectivo,Anhedonia - relaciones con la familia,Alogia - bloqueos del pensamiento,Obsesiones de presencia,Alogia,Sudoración,Abulia - trabajo o estudio,Anhedonia - sociabilidad,Disnea,Paranoia intensa,Comportamiento social inadecuado
Trastorno delirante,Obsesiones de presencia,Preocupación,Hipervigilancia,Temblores,Anhedonia - sociabilidad,Alogia,Dificultades en teoría de la mente,Irritabilidad,Abulia,Sentimiento de culpa
Trastorno bipolar con síntomas psicóticos,Comportamiento motor desorganizado,Hipervigilancia,Deterioro de la memoria,Ideas suicidas,Cambios en el apetito,Disminución del libido,Catatonía,Alogia - pobreza del habla,Comportamiento social inadecuado,Lenguaje desorganizado
Trastorno esquizoafectivo,Anhedonia - sociabilidad,Ideas suicidas,Abulia,Anhedonia - relaciones con la familia,Paranoia intensa,Desorganización del pensamiento,Abulia - higiene,Anhedonia - intereses sexuales,Dificultades en teoría de la mente,Anergia física
Depresión mayor con síntomas psicóticos,Control del pensamiento,Cambios en el apetito,Ideas suicidas,Anhedonia - relaciones con la familia,Tristeza,Contacto visual bajo,Hipoexpresividad emocional,Nerviosismo,Déficit en el procesamiento de la información,Alucinaciones
Trastorno delirante,Alucinaciones,Hipoexpresividad emocional,Hipervigilancia,Ideas suicidas,Alogia - bloqueos del pensamiento,Disnea,Catatonía,Temblores,Comportamiento motor desorganizado,Paranoia intensa
Trastorno delirante,Cambios en el apetito,Gesticulación reducida,Comportamiento motor desorganizado,Anhedonia - relaciones con amigos,Obsesiones de presencia,Hipervigilancia,Deterioro de la atención,Comportamiento social inadecuado,Anhedonia - sociabilidad,Abulia
Trastorno esquizotípico,Expresión facial reducida,Disminución del libido,Dificultad de concentración,Sudoración,Anhedonia - intereses recreativos,Anhedonia - relaciones con la familia,Preocupación,Dificultades en teoría de la mente,Ideas delirantes,Irritabilidad
Trastorno esquizoafectivo,Dificultades en teoría de la mente,Anhedonia - relaciones con amigos,Alogia,Disminución del libido,Sudoración,Anhedonia - sociabilidad,Anhedonia,Sentimiento de culpa,Paranoia intensa,Lenguaje desorganizado
Trastorno esquizoafectivo,Abulia,Gesticulación reducida,Sudoración,Tristeza,Deterioro de la atención,Preocupación,Alogia - pobreza del habla,Ideas suicidas,Ideas delirantes,Paranoia intensa
Depresión mayor con síntomas psicóticos,Alogia,Taquicardia,Ideas suicidas,Abulia,Temblores,Deterioro de la atención,Contacto visual bajo,Tristeza,Hipervigilancia,Control del pensamiento
Trastorno esquizotípico,Anergia física,Anhedonia - relaciones con la familia,Alogia - pobreza del habla,Sueño o fatiga,Alogia - pobreza de contenido,Control del pensamiento,Afectividad inapropiada,Sudoración,Ideas suicidas,Contacto visual bajo
Depresión mayor con síntomas psicóticos,Irritabilidad,Alogia - pobreza de contenido,Anhedonia - sociabilidad,Hipervigilancia,Taquicardia,Nerviosismo,Deterioro de la atención,Abulia - trabajo o estudio,Afectividad inapropiada,Eco del pensamiento
Trastorno esquizoafectivo,Catatonía,Paranoia intensa,Dificultades en teoría de la mente,Deterioro de la atención,Gesticulación reducida,Anergia física,Ideas delirantes,Hipervigilancia,Anhedonia - sociabilidad,Abulia
Trastorno bipolar con síntomas psicóticos,Dificultad de concentración,Déficit en el procesamiento de la información,Alucinaciones,Alogia - bloqueos del pensamiento,Cambios en el apetito,Anhedonia - relaciones con la familia,Lenguaje desorganizado,Eco del pensamiento,Anhedonia,Deterioro de la atención
Trastorno esquizoafectivo,Anhedonia - intereses sexuales,Alogia - pobreza del habla,Anhedonia,Catatonía,Ideas suicidas,Hipervigilancia,Sentimiento de culpa,Abulia,Sudoración,Comportamiento motor desorganizado
Trastorno esquizotípico,Eco del pensamiento,Dificultad de concentración,Anhedonia,Dificultades en teoría de la mente,Alogia,Desorganización del pensamiento,Cambios en el apetito,Expresión facial reducida,Pensamientos intrusivos,Anhedonia - sociabilidad
Trastorno bipolar con síntomas psicóticos,Afectividad inapropiada,Anhedonia - sociabilidad,Temblores,Control del pensamiento,Dificultades en teoría de la mente,Ideas suicidas,Eco del pensamiento,Deterioro de la memoria,Taquicardia,Comportamiento motor desorganizado
Trastorno delirante,Lenguaje desorganizado,Obsesiones de presencia,Alogia - pobreza del habla,Tristeza,Anhedonia - relaciones con la familia,Pensamientos intrusivos,Ideas delirantes,Cambios en el apetito,Anergia física,Desorganización del pensamiento
Trastorno delirante,Deterioro de la memoria,Contacto visual bajo,Anhedonia - relaciones con amigos,Alogia - pobreza de contenido,Alucinaciones,Preocupación,Paranoia intensa,Gesticulación reducida,Anhedonia - relaciones con la familia,Desorganización del pensamiento
Esquizofrenia,Alucinaciones,Hipervigilancia,Disminución del libido,Paranoia intensa,Ideas delirantes,Deterioro de la memoria,Taquicardia,Anhedonia - intereses recreativos,Alogia,Pensamientos intrusivos
Trastorno bipolar con síntomas psicóticos,Catatonía,Sudoración,Cambios en el apetito,Dificultades en teoría de la mente,Alogia - pobreza de contenido,Abulia - higiene,Anhedonia - relaciones con amigos,Anhedonia,Eco del pensamiento,Anhedonia - relaciones con la familia
Depresión mayor con síntomas psicóticos,Abulia - trabajo o estudio,Gesticulación reducida,Comportamiento social inadecuado,Afectividad inapropiada,Desorganización del pensamiento,Dificultad de concentración,Obsesiones de presencia,Ideas delirantes,Déficit en el procesamiento de la información,Alogia - pobreza de contenido
Trastorno esquizoafectivo,Catatonía,Pensamientos intrusivos,Anhedonia - intereses sexuales,Déficit en el procesamiento de la información,Anhedonia - intereses recreativos,Alogia - pobreza de contenido,Abulia - trabajo o estudio,Disminución del libido,Alucinaciones,Cambios en el apetito
Esquizofrenia,Dificultad de concentración,Anhedonia - relaciones con la familia,Sudoración,Gesticulación reducida,Expresión facial reducida,Hipoexpresividad emocional,Deterioro de la atención,Disminución del libido,Alogia,Irritabilidad
Trastorno esquizotípico,Deterioro de la memoria,Hipervigilancia,Gesticulación reducida,Tristeza,Anhedonia - intereses recreativos,Alucinaciones,Dificultad de concentración,Taquicardia,Anhedonia,Eco del pensamiento
Trastorno esquizotípico,Deterioro de la memoria,Nerviosismo,Anhedonia - relaciones con la familia,Ideas suicidas,Hipoexpresividad emocional,Obsesiones de presencia,Alogia - pobreza de contenido,Irritabilidad,Anhedonia - sociabilidad,Sudoración
Trastorno delirante,Disnea,Cambios en el apetito,Anhedonia - sociabilidad,Alogia - pobreza del habla,Desorganización del pensamiento,Sentimiento de culpa,Anhedonia,Dificultades en teoría de la mente,Hipervigilancia,Eco del pensamiento
Trastorno bipolar con síntomas psicóticos,Cambios en el apetito,Dificultad de concentración,Lenguaje desorganizado,Alogia,Deterioro de la memoria,Comportamiento motor desorganizado,Irritabilidad,Sudoración,Abulia,Anhedonia - relaciones con amigos
Trastorno bipolar con síntomas psicóticos,Anhedonia - relaciones con amigos,Anergia física,Pensamientos intrusivos,Abulia - higiene,Sudoración,Desorganización del pensamiento,Lenguaje desorganizado,Taquicardia,Hipoexpresividad emocional,Anhedonia - intereses sexuales
Trastorno delirante,Deterioro de la memoria,Abulia - trabajo o estudio,Cambios en el apetito,Sueño o fatiga,Obsesiones de presencia,Paranoia intensa,Anergia física,Comportamiento motor desorganizado,Alucinaciones,Gesticulación reducida
Depresión mayor con síntomas psicóticos,Temblores,Pensamientos intrusivos,Irritabilidad,Obsesiones de presencia,Alogia - pobreza de contenido,Cambios en el apetito,Preocupación,Expresión facial reducida,Déficit en el procesamiento de la información,Alogia - bloqueos del pensamiento
Esquizofrenia,Anhedonia - relaciones con amigos,Temblores,Deterioro de la atención,Sudoración,Anhedonia,Expresión facial reducida,Ideas suicidas,Comportamiento motor desorganizado,Taquicardia,Catatonía
Trastorno bipolar con síntomas psicóticos,Afectividad inapropiada,Déficit en el procesamiento de la información,Taquicardia,Dificultad de concentración,Abulia,Anhedonia - intereses sexuales,Temblores,Tristeza,Lenguaje desorganizado,Cambios en el apetito
Trastorno delirante,Lenguaje desorganizado,Dificultad de concentración,Sudoración,Disminución del libido,Abulia - higiene,Deterioro de la memoria,Catatonía,Anergia física,Hipervigilancia,Alucinaciones
Trastorno delirante,Eco del pensamiento,Alogia - pobreza del habla,Nerviosismo,Anhedonia - sociabilidad,Contacto visual bajo,Control del pensamiento,Comportamiento motor desorganizado,Ideas delirantes,Abulia - higiene,Hipoexpresividad emocional
Esquizofrenia,Dificultad de concentración,Deterioro de la memoria,Déficit en el procesamiento de la información,Nerviosismo,Alogia - bloqueos del pensamiento,Preocupación,Cambios en el apetito,Hipoexpresividad emocional,Disminución del libido,Expresión facial reducida
Esquizofrenia,Alogia - pobreza de contenido,Nerviosismo,Dificultades en teoría de la mente,Hipoexpresividad emocional,Anhedonia - relaciones con amigos,Tristeza,Comportamiento motor desorganizado,Gesticulación reducida,Disminución del libido,Dificultad de concentración
Esquizofrenia,Alogia - pobreza de contenido,Contacto visual bajo,Alogia - pobreza del habla,Tristeza,Abulia,Sentimiento de culpa,Alucinaciones,Deterioro de la memoria,Obsesiones de presencia,Disminución del libido
Esquizofrenia,Control del pensamiento,Comportamiento motor desorganizado,Hipervigilancia,Paranoia intensa,Déficit en el procesamiento de la información,Eco del pensamiento,Deterioro de la atención,Anhedonia - intereses recreativos,Irritabilidad,Taquicardia
Trastorno delirante,Hipoexpresividad emocional,Anhedonia,Afectividad inapropiada,Control del pensamiento,Obsesiones de presencia,Paranoia intensa,Cambios en el apetito,Abulia - higiene,Taquicardia,Abulia
Trastorno delirante,Alogia - pobreza del habla,Disminución del libido,Control del pensamiento,Catatonía,Anhedonia - intereses sexuales,Abulia - trabajo o estudio,Cambios en el apetito,Ideas suicidas,Alucinaciones,Sudoración
Trastorno delirante,Cambios en el apetito,Alogia - pobreza de contenido,Sueño o fatiga,Anergia física,Comportamiento social inadecuado,Eco del pensamiento,Déficit en el procesamiento de la información,Paranoia intensa,Expresión facial reducida,Anhedonia - intereses recreativos
Trastorno delirante,Paranoia intensa,Anhedonia - intereses recreativos,Abulia,Control del pensamiento,Afectividad inapropiada,Déficit en el procesamiento de la información,Alogia - pobreza de contenido,Sentimiento de culpa,Irritabilidad,Abulia - higiene
Trastorno esquizoafectivo,Pensamientos intrusivos,Alogia,Catatonía,Comportamiento social inadecuado,Anergia física,Déficit en el procesamiento de la información,Anhedonia - relaciones con amigos,Comportamiento motor desorganizado,Tristeza,Alucinaciones
Trastorno bipolar con síntomas psicóticos,Eco del pensamiento,Irritabilidad,Dificultades en teoría de la mente,Taquicardia,Deterioro de la atención,Sentimiento de culpa,Control del pensamiento,Alucinaciones,Sueño o fatiga,Lenguaje desorganizado
Trastorno delirante,Abulia - higiene,Nerviosismo,Sentimiento de culpa,Sueño o fatiga,Ideas suicidas,Expresión facial reducida,Afectividad inapropiada,Catatonía,Comportamiento social inadecuado,Cambios en el apetito
Esquizofrenia,Irritabilidad,Sentimiento de culpa,Abulia,Tristeza,Anhedonia,Alucinaciones,Anhedonia - relaciones con amigos,Gesticulación reducida,Anergia física,Desorganización del pensamiento
Trastorno delirante,Obsesiones de presencia,Anhedonia - intereses recreativos,Disminución del libido,Abulia - higiene,Contacto visual bajo,Abulia - trabajo o estudio,Déficit en el procesamiento de la información,Sentimiento de culpa,Irritabilidad,Hipoexpresividad emocional
Esquizofrenia,Deterioro de la memoria,Eco del pensamiento,Dificultades en teoría de la mente,Pensamientos intrusivos,Preocupación,Anhedonia - relaciones con amigos,Sudoración,Comportamiento social inadecuado,Anhedonia - intereses sexuales,Ideas suicidas
Depresión mayor con síntomas psicóticos,Eco del pensamiento,Desorganización del pensamiento,Contacto visual bajo,Irritabilidad,Abulia,Deterioro de la memoria,Hipoexpresividad emocional,Dificultades en teoría de la mente,Abulia - higiene,Lenguaje desorganizado
Trastorno delirante,Eco del pensamiento,Abulia - trabajo o estudio,Abulia,Afectividad inapropiada,Expresión facial reducida,Anhedonia - intereses recreativos,Déficit en el procesamiento de la información,Alogia - pobreza de contenido,Alogia - bloqueos del pensamiento,Cambios en el apetito
Esquizofrenia,Gesticulación reducida,Pensamientos intrusivos,Afectividad inapropiada,Anhedonia,Control del pensamiento,Deterioro de la atención,Alucinaciones,Anergia física,Comportamiento motor desorganizado,Déficit en el procesamiento de la información
Trastorno esquizotípico,Pensamientos intrusivos,Tristeza,Alogia - bloqueos del pensamiento,Alucinaciones,Alogia - pobreza del habla,Ideas delirantes,Anergia física,Hipoexpresividad emocional,Dificultad de concentración,Comportamiento social inadecuado
Trastorno delirante,Temblores,Anhedonia - relaciones con la familia,Alogia,Abulia - higiene,Ideas delirantes,Deterioro de la memoria,Alucinaciones,Contacto visual bajo,Disminución del libido,Anergia física
Trastorno delirante,Afectividad inapropiada,Alogia - pobreza del habla,Obsesiones de presencia,Alogia - pobreza de contenido,Eco del pensamiento,Taquicardia,Sueño o fatiga,Lenguaje desorganizado,Hipoexpresividad emocional,Sentimiento de culpa
Esquizofrenia,Obsesiones de presencia,Abulia,Anhedonia - sociabilidad,Comportamiento motor desorganizado,Dificultad de concentración,Anhedonia,Dificultades en teoría de la mente,Deterioro de la atención,Cambios en el apetito,Ideas delirantes
Trastorno delirante,Anhedonia - sociabilidad,Dificultades en teoría de la mente,Deterioro de la atención,Expresión facial reducida,Temblores,Déficit en el procesamiento de la información,Anhedonia - intereses sexuales,Disminución del libido,Catatonía,Eco del pensamiento
Trastorno bipolar con síntomas psicóticos,Alogia - bloqueos del pensamiento,Alogia,Nerviosismo,Paranoia intensa,Lenguaje desorganizado,Obsesiones de presencia,Abulia - trabajo o estudio,Comportamiento social inadecuado,Anergia física,Ideas suicidas
Trastorno esquizotípico,Alogia,Alucinaciones,Anhedonia - relaciones con amigos,Déficit en el procesamiento de la información,Taquicardia,Obsesiones de presencia,Comportamiento social inadecuado,Disnea,Comportamiento motor desorganizado,Lenguaje desorganizado
Trastorno esquizoafectivo,Expresión facial reducida,Nerviosismo,Sudoración,Deterioro de la memoria,Desorganización del pensamiento,Cambios en el apetito,Alucinaciones,Temblores,Comportamiento social inadecuado,Alogia - bloqueos del pensamiento
Depresión mayor con síntomas psicóticos,Expresión facial reducida,Anhedonia,Dificultad de concentración,Anhedonia - relaciones con la familia,Anhedonia - relaciones con amigos,Obsesiones de presencia,Anergia física,Anhedonia - intereses sexuales,Lenguaje desorganizado,Pensamientos intrusivos
Trastorno bipolar con síntomas psicóticos,Obsesiones de presencia,Abulia - trabajo o estudio,Control del pensamiento,Dificultad de concentración,Eco del pensamiento,Anhedonia - intereses sexuales,Deterioro de la atención,Anhedonia - intereses recreativos,Anhedonia - relaciones con amigos,Déficit en el procesamiento de la información
Esquizofrenia,Déficit en el procesamiento de la información,Sueño o fatiga,Abulia - higiene,Deterioro de la atención,Taquicardia,Dificultad de concentración,Afectividad inapropiada,Control del pensamiento,Abulia - trabajo o estudio,Eco del pensamiento
Trastorno delirante,Sentimiento de culpa,Alogia - bloqueos del pensamiento,Anhedonia,Abulia,Anhedonia - sociabilidad,Taquicardia,Nerviosismo,Sudoración,Pensamientos intrusivos,Abulia - trabajo o estudio
Trastorno esquizoafectivo,Anhedonia - intereses recreativos,Obsesiones de presencia,Nerviosismo,Pensamientos intrusivos,Sueño o fatiga,Desorganización del pensamiento,Sentimiento de culpa,Anhedonia,Control del pensamiento,Disnea
Trastorno esquizotípico,Comportamiento motor desorganizado,Tristeza,Expresión facial reducida,Contacto visual bajo,Sueño o fatiga,Deterioro de la atención,Disnea,Abulia,Abulia - higiene,Nerviosismo
Trastorno bipolar con síntomas psicóticos,Deterioro de la memoria,Comportamiento motor desorganizado,Preocupación,Anhedonia - relaciones con la familia,Sentimiento de culpa,Obsesiones de presencia,Hipoexpresividad emocional,Cambios en el apetito,Anhedonia - sociabilidad,Irritabilidad
Trastorno bipolar con síntomas psicóticos,Abulia,Nerviosismo,Temblores,Alogia,Expresión facial reducida,Anergia física,Lenguaje desorganizado,Taquicardia,Preocupación,Disnea
Trastorno esquizotípico,Anhedonia - relaciones con la familia,Obsesiones de presencia,Gesticulación reducida,Expresión facial reducida,Déficit en el procesamiento de la información,Dificultades en teoría de la mente,Alogia - pobreza de contenido,Sueño o fatiga,Anhedonia - relaciones con amigos,Abulia
Trastorno bipolar con síntomas psicóticos,Anhedonia - relaciones con la familia,Sentimiento de culpa,Abulia - higiene,Abulia,Gesticulación reducida,Deterioro de la memoria,Cambios en el apetito,Déficit en el procesamiento de la información,Expresión facial reducida,Hipervigilancia
